title,url,text_for_llm
SQL Server MCP Server,https://mcp.so/server/mssql-mcp-server/Popplywop,Description: SQL Server MCP Server - Provides SQL Server database access via Model Context Protocol Use cases: Querying customer data from a SQL Server database. Inserting new records into a database table. Updating existing records based on specific conditions.
DART-mcp-server,https://mcp.so/server/DART-mcp-server/snaiws,Description: API mcp Use cases: Fetching financial statements of publicly listed companies in Korea. Analyzing trends in corporate disclosures over time. Integrating financial data into applications for analysis and reporting.
SumoLogic MCP Server,https://mcp.so/server/mcp-sumologic/greyaperez,Description: MCP Server for SumoLogic API Use cases: Monitoring application performance through SumoLogic. Collecting and analyzing logs from multiple sources. Automating data reporting and visualization tasks.
Alist MCP Server,https://mcp.so/server/alist-mcp-server/JavanShen,Description: MCP Server for Alist Use cases: Integrating Alist API into applications for data retrieval. Facilitating communication between different services using MCP. Automating tasks that require interaction with the Alist API.
Vapi MCP for Cursor,https://mcp.so/server/vapi-mcp/matthewdcage,Description: Vapi.ai MCP server & HTTP Server Use cases: Making customer service calls using AI assistants. Creating personalized voice assistants for different applications. Analyzing conversation data for insights and improvements.
MCP Graph API Integration,https://mcp.so/server/graph_api_mcp/ovaismehboob,Description: MCP Server that talks to Graph API Use cases: Querying Azure AD resources using natural language. Managing application registrations in Azure AD. Assisting users with Azure AD permissions and configurations.
Filament MCP Server - Laravel Loop,https://mcp.so/server/laravel-loop-filament/kirschbaum-development,Description: Filament MCP Server for Laravel Loop Use cases: Listing all available Filament Resources for an MCP client. Describing the structure and fields of a specific resource. Querying data with optional filters for specific resources. Executing bulk actions on resources in ReadWrite mode.
mxHERO Mail2Cloud MCP,https://mcp.so/server/mxhero-mail2cloud-mcp/mxHERO,"Description: A high performance email search MCP for teams & companies. Secure & scalable across multiple email accounts and archives with support for custom filters (e.g., customer facing communications only). This MCP is used to facilitate seamless integration to mxHERO Mail2Cloud Advanced. Mail2Cloud Advanced is a high performance data pipeline to a company's email data. Mail2Cloud Advanced connects to company email services and optimizes the content for fast, scalable and secure access by AI solutions Use cases: Facilitating knowledge recovery from extensive email archives. Enhancing productivity by providing quick access to relevant email communications. Supporting AI solutions in searching and analyzing email data."
MCP Server,https://mcp.so/server/AzureAI.MCP/RobertEichenseer,"Description: MCP Server (Resources, Tools, Prompts)"
mcp-fastify-server,https://mcp.so/server/mcp-fastify-server/bgaurav7,Description: Sample Model Context Protocol (MCP) Server Use cases: Developing applications that require a structured communication protocol. Learning how to implement a server using Fastify and TypeScript. Prototyping and testing Model Context Protocol implementations.
Amadeus MCP Server,https://mcp.so/server/amadeus-mcp/ben4mn,Description: MCP server integrating Amadeus flight search capabilities with Claude Desktop Use cases: Searching for flights between two IATA airport codes. Integrating flight search capabilities into applications using Claude Desktop. Automating flight search queries for travel planning.
Hubble AI for Solana,https://mcp.so/server/hubble-ai-mcp/HubbleVision,Description: Hubble-ai mcp server Use cases: Analyzing recent Pumpfun transactions. Visualizing transaction trends over time. Generating charts for presentations or reports.
CyberChef API MCP Server,https://mcp.so/server/cyberchef-api-mcp-server/slouchd,Description: CyberChef API MCP Server Use cases: Automating data processing tasks using CyberChef operations. Integrating CyberChef functionalities into custom applications. Batch processing of data with predefined recipes.
Self-hosted AI starter kit (by the n8n team),https://mcp.so/server/pydantic_lod_test/cedricdcc,Description: pydantic agent workflow using mcp servers to test out advanced retrieval of linked data Use cases: Building custom AI workflows for data processing. Creating chatbots that interact with local models. Developing applications that require integration with various APIs.
Gitee MCP Server,https://mcp.so/server/mcp-gitee/oschina,"Description: mcp-gitee is a Model Context Protocol (MCP) server implementation for Gitee. It provides a set of tools that interact with Gitee's API, allowing AI assistants to manage repository, issues, pull requests, etc. Use cases: Managing repository issues and pull requests. Automating repository management tasks for AI assistants. Integrating Gitee functionalities into other applications."
iRacing,https://mcp.so/server/iracing-data-mcp-server/emilioSp,Description: Node.js mcp server for iRacing data api Use cases: Developing applications that require real-time racing data. Analyzing racing performance metrics. Creating visualizations for racing statistics.
mentor-mcp-server,https://mcp.so/server/cyanheads_mentor-mcp-server/MCP-Mirror,Description: Mirror of Use cases: Conducting thorough code reviews to improve software quality. Evaluating design documents for user interface improvements. Providing feedback on technical writing and documentation. Brainstorming new features and assessing their feasibility.
Sonar MVP Server,https://mcp.so/server/sonar-mcp-server/lreimer,Description: A MCP server implementation for the SonarQube Cloud API in Golang. Use cases: Integrating SonarQube analysis into CI/CD pipelines. Automating code quality checks in development workflows. Building custom tools that leverage SonarQube data.
